gear_ID,probability,cost_SSP,cost_EP,stuff1,stuff2,stuff3,stuff4,stuff5
acce_5_14,88,500,0,parts_6_2,parts_6_15,parts_6_7,parts_7_2,parts_7_9
acce_5_15,88,500,0,parts_6_2,parts_6_5,parts_6_12,parts_7_7,parts_7_2
acce_5_16,88,500,0,parts_6_6,parts_6_4,parts_6_13,parts_7_14,parts_7_4
acce_5_17,88,500,0,parts_6_13,parts_6_11,parts_6_8,parts_7_1,parts_7_13
acce_5_18,88,500,0,parts_6_1,parts_6_6,parts_6_8,parts_7_14,parts_7_5
acce_5_19,88,500,0,parts_6_5,parts_6_13,parts_6_8,parts_7_15,parts_7_2
acce_5_20,88,500,0,parts_6_8,parts_6_4,parts_6_14,parts_7_13,parts_7_12
acce_6_1,100,0,0,parts_6_10,parts_6_9,parts_7_7,parts_7_10,
acce_6_2,100,0,0,parts_6_14,parts_6_7,parts_7_14,parts_7_9,
acce_6_3,100,0,0,parts_6_1,parts_6_13,parts_7_15,parts_7_9,
acce_6_4,100,0,0,parts_6_5,parts_6_13,parts_7_5,parts_7_11,
acce_6_5,100,0,0,parts_6_15,parts_6_9,parts_7_10,parts_7_1,
acce_6_6,100,0,0,parts_6_7,parts_6_11,parts_7_15,parts_7_11,
acce_6_7,100,0,0,parts_6_10,parts_6_2,parts_7_10,parts_7_4,
acce_6_8,100,0,0,parts_6_3,parts_6_12,parts_7_4,parts_7_15,
acce_6_9,100,0,0,parts_6_14,parts_6_9,parts_7_14,parts_7_2,
acce_6_10,100,0,0,parts_6_3,parts_6_14,parts_7_6,parts_7_1,
acce_7_1,100,0,0,parts_7_6,parts_7_12,parts_7_4,,
acce_7_2,100,0,0,parts_7_1,parts_7_4,parts_7_14,,
acce_7_3,100,0,0,parts_7_12,parts_7_4,parts_7_5,,
acce_7_4,100,0,0,parts_7_12,parts_7_8,parts_7_14,,
acce_7_5,100,0,0,parts_7_9,parts_7_1,parts_7_13,,
acce_7_6,100,0,0,parts_7_1,parts_7_15,parts_7_11,,
acce_7_7,100,0,0,parts_7_6,parts_7_5,parts_7_7,,
acce_7_8,100,0,0,parts_7_15,parts_7_15,parts_7_3,,
acce_7_9,100,0,0,parts_7_12,parts_7_2,parts_7_14,,
acce_7_10,100,0,0,parts_7_11,parts_7_15,parts_7_7,,
radio_1_1,40,3000,100,radio_2_4,radio_2_3,parts_2_2,parts_3_2,parts_3_6
radio_1_2,40,3000,100,radio_2_7,radio_2_7,parts_2_8,parts_3_2,parts_3_5
radio_1_3,40,3000,100,radio_2_5,radio_2_9,parts_2_7,parts_3_4,parts_3_1
radio_1_4,40,3000,100,radio_2_8,radio_2_7,parts_2_1,parts_3_9,parts_3_2
radio_1_5,40,3000,100,radio_2_6,radio_2_6,parts_2_7,parts_3_7,parts_3_9
radio_1_6,40,3000,100,radio_2_6,radio_2_4,parts_2_10,parts_3_4,parts_3_8
radio_1_7,40,3000,100,radio_2_2,radio_2_3,parts_2_6,parts_3_3,parts_3_10
radio_1_8,40,3000,100,radio_2_4,radio_2_5,parts_2_7,parts_3_8,parts_3_1
radio_1_9,40,3000,100,radio_2_8,radio_2_1,parts_2_2,parts_3_7,parts_3_10
radio_1_10,40,3000,100,radio_2_1,radio_2_7,parts_2_4,parts_3_3,parts_3_1
radio_2_1,52,1500,70,radio_3_5,parts_3_3,parts_4_3,parts_5_12,parts_5_13
radio_2_2,52,1500,70,radio_3_9,parts_3_10,parts_4_14,parts_5_12,parts_5_3
radio_2_3,52,1500,70,radio_3_3,parts_3_1,parts_4_20,parts_5_13,parts_5_7
radio_2_4,52,1500,70,radio_3_9,parts_3_3,parts_4_5,parts_5_12,parts_5_14
radio_2_5,52,1500,70,radio_3_5,parts_3_1,parts_4_19,parts_5_2,parts_5_15
radio_2_6,52,1500,70,radio_3_9,parts_3_2,parts_4_13,parts_5_9,parts_5_11
radio_2_7,52,1500,70,radio_3_8,parts_3_7,parts_4_13,parts_5_5,parts_5_13
radio_2_8,52,1500,70,radio_3_5,parts_3_10,parts_4_8,parts_5_14,parts_5_1
radio_2_9,52,1500,70,radio_3_2,parts_3_2,parts_4_8,parts_5_13,parts_5_8
radio_2_10,52,1500,70,radio_3_9,parts_3_4,parts_4_17,parts_5_3,parts_5_1
radio_3_1,64,1000,70,radio_4_2,parts_4_16,parts_5_1,parts_6_12,parts_7_14
radio_3_2,64,1000,70,radio_4_14,parts_4_12,parts_5_3,parts_6_7,parts_7_15
radio_3_3,64,1000,70,radio_4_3,parts_4_10,parts_5_20,parts_6_8,parts_7_10
radio_3_4,64,1000,70,radio_4_19,parts_4_9,parts_5_18,parts_6_9,parts_7_14
radio_3_5,64,1000,70,radio_4_10,parts_4_19,parts_5_6,parts_6_8,parts_7_9
radio_3_6,64,1000,70,radio_4_17,parts_4_13,parts_5_2,parts_6_1,parts_7_15
radio_3_7,64,1000,70,radio_4_18,parts_4_20,parts_5_1,parts_6_3,parts_7_4
radio_3_8,64,1000,70,radio_4_8,parts_4_11,parts_5_10,parts_6_7,parts_7_12
radio_3_9,64,1000,70,radio_4_1,parts_4_8,parts_5_8,parts_6_1,parts_7_11
radio_3_10,64,1000,70,radio_4_16,parts_4_4,parts_5_20,parts_6_8,parts_7_7
radio_4_1,76,750,40,radio_5_10,parts_5_3,parts_6_1,parts_7_6,parts_7_14
radio_4_2,76,750,40,radio_5_17,parts_5_11,parts_6_6,parts_7_10,parts_7_1
radio_4_3,76,750,40,radio_5_3,parts_5_8,parts_6_4,parts_7_2,parts_7_11
radio_4_4,76,750,40,radio_5_18,parts_5_7,parts_6_5,parts_7_5,parts_7_2
radio_4_5,76,750,40,radio_5_18,parts_5_20,parts_6_10,parts_7_14,parts_7_13
radio_4_6,76,750,40,radio_5_15,parts_5_19,parts_6_7,parts_7_4,parts_7_1
radio_4_7,76,750,40,radio_5_4,parts_5_8,parts_6_12,parts_7_14,parts_7_8
radio_4_8,76,750,40,radio_5_15,parts_5_7,parts_6_14,parts_7_1,parts_7_6
radio_4_9,76,750,40,radio_5_8,parts_5_12,parts_6_7,parts_7_14,parts_7_12
radio_4_10,76,750,40,radio_5_6,parts_5_5,parts_6_10,parts_7_14,parts_7_14
radio_4_11,76,750,40,radio_5_12,parts_5_16,parts_6_15,parts_7_15,parts_7_11
radio_4_12,76,750,40,radio_5_3,parts_5_4,parts_6_10,parts_7_14,parts_7_2
radio_4_13,76,750,40,radio_5_15,parts_5_12,parts_6_9,parts_7_4,parts_7_15
radio_4_14,76,750,40,radio_5_20,parts_5_5,parts_6_11,parts_7_6,parts_7_11
radio_4_15,76,750,40,radio_5_10,parts_5_19,parts_6_8,parts_7_12,parts_7_8
radio_4_16,76,750,40,radio_5_11,parts_5_11,parts_6_7,parts_7_5,parts_7_1
radio_4_17,76,750,40,radio_5_1,parts_5_4,parts_6_13,parts_7_8,parts_7_14
radio_4_18,76,750,40,radio_5_19,parts_5_11,parts_6_10,parts_7_1,parts_7_4
radio_4_19,76,750,40,radio_5_2,parts_5_9,parts_6_7,parts_7_15,parts_7_11
radio_4_20,76,750,40,radio_5_10,parts_5_5,parts_6_15,parts_7_2,parts_7_15
radio_5_1,88,500,0,parts_6_13,parts_6_3,parts_6_8,parts_7_1,parts_7_13
radio_5_2,88,500,0,parts_6_12,parts_6_2,parts_6_3,parts_7_8,parts_7_10
radio_5_3,88,500,0,parts_6_13,parts_6_1,parts_6_5,parts_7_5,parts_7_15
radio_5_4,88,500,0,parts_6_9,parts_6_12,parts_6_3,parts_7_11,parts_7_15
radio_5_5,88,500,0,parts_6_7,parts_6_6,parts_6_7,parts_7_13,parts_7_12
radio_5_6,88,500,0,parts_6_6,parts_6_7,parts_6_13,parts_7_10,parts_7_14
radio_5_7,88,500,0,parts_6_14,parts_6_12,parts_6_10,parts_7_2,parts_7_10
radio_5_8,88,500,0,parts_6_4,parts_6_9,parts_6_2,parts_7_7,parts_7_4
radio_5_9,88,500,0,parts_6_8,parts_6_10,parts_6_4,parts_7_6,parts_7_11
radio_5_10,88,500,0,parts_6_10,parts_6_12,parts_6_6,parts_7_12,parts_7_12
radio_5_11,88,500,0,parts_6_3,parts_6_11,parts_6_5,parts_7_12,parts_7_8
radio_5_12,88,500,0,parts_6_9,parts_6_3,parts_6_3,parts_7_12,parts_7_9
radio_5_13,88,500,0,parts_6_1,parts_6_11,parts_6_15,parts_7_10,parts_7_7
radio_5_14,88,500,0,parts_6_4,parts_6_14,parts_6_11,parts_7_3,parts_7_12
radio_5_15,88,500,0,parts_6_11,parts_6_5,parts_6_12,parts_7_9,parts_7_9
radio_5_16,88,500,0,parts_6_6,parts_6_8,parts_6_10,parts_7_7,parts_7_2
radio_5_17,88,500,0,parts_6_5,parts_6_10,parts_6_1,parts_7_5,parts_7_7
radio_5_18,88,500,0,parts_6_15,parts_6_5,parts_6_15,parts_7_2,parts_7_11
radio_5_19,88,500,0,parts_6_10,parts_6_14,parts_6_8,parts_7_11,parts_7_15
radio_5_20,88,500,0,parts_6_10,parts_6_4,parts_6_15,parts_7_14,parts_7_11
radio_6_1,100,0,0,parts_6_1,parts_6_13,parts_7_8,parts_7_8,
radio_6_2,100,0,0,parts_6_13,parts_6_15,parts_7_4,parts_7_4,
radio_6_3,100,0,0,parts_6_6,parts_6_1,parts_7_13,parts_7_4,
radio_6_4,100,0,0,parts_6_1,parts_6_10,parts_7_10,parts_7_2,
radio_6_5,100,0,0,parts_6_12,parts_6_6,parts_7_5,parts_7_11,
radio_6_6,100,0,0,parts_6_10,parts_6_7,parts_7_2,parts_7_11,
radio_6_7,100,0,0,parts_6_12,parts_6_13,parts_7_13,parts_7_15,
radio_6_8,100,0,0,parts_6_14,parts_6_5,parts_7_11,parts_7_8,
radio_6_9,100,0,0,parts_6_7,parts_6_7,parts_7_15,parts_7_15,
radio_6_10,100,0,0,parts_6_13,parts_6_5,parts_7_2,parts_7_9,
radio_7_1,100,0,0,parts_7_2,parts_7_11,parts_7_8,,
radio_7_2,100,0,0,parts_7_8,parts_7_14,parts_7_7,,
radio_7_3,100,0,0,parts_7_3,parts_7_4,parts_7_1,,
radio_7_4,100,0,0,parts_7_5,parts_7_1,parts_7_14,,
radio_7_5,100,0,0,parts_7_10,parts_7_2,parts_7_3,,
radio_7_6,100,0,0,parts_7_15,parts_7_14,parts_7_10,,
radio_7_7,100,0,0,parts_7_14,parts_7_9,parts_7_8,,
radio_7_8,100,0,0,parts_7_14,parts_7_6,parts_7_6,,
radio_7_9,100,0,0,parts_7_2,parts_7_13,parts_7_15,,
radio_7_10,100,0,0,parts_7_11,parts_7_1,parts_7_11,,
