level,exp,stamina,Cost_SSP,Cost_EP,Reward_SSP,Reward_EP,Reward_Gear,Reward_Count,Limit_SSP,Limit_EP,Limit_Probability,Condition1,Condition2
36,81026134,13500,3500,0,0,0,,0,0,0,0,0,0
37,86938323,13600,3500,0,0,0,,0,0,0,0,0,0
38,93102066,13700,3500,0,0,0,,0,0,0,0,0,0
39,99520832,13800,3500,0,0,0,,0,0,0,0,0,0
40,106198046,13900,4000,1500,0,0,,0,5000,0,40,480,0
41,113137085,14000,4000,0,0,0,,0,0,0,0,0,0
42,120341286,14100,4000,0,6000,0,,1,0,0,0,0,0
43,127813943,14200,4000,0,0,0,,0,0,0,0,0,0
44,135558310,14300,4000,0,0,1000,,0,0,0,0,0,0
45,143577603,14400,4500,1500,0,0,,0,5000,1000,40,621,0
46,151875000,14500,4500,0,0,0,,0,0,0,0,0,0
47,160453644,14600,4500,0,0,0,,0,0,0,0,0,0
48,169316644,14700,4500,0,0,0,,0,0,0,0,0,0
49,178467073,14800,4500,0,0,0,,0,0,0,0,0,0
50,187907972,14900,5000,2000,0,0,,0,5000,0,30,750,0
51,197642354,15000,5000,0,0,0,,0,0,0,0,0,0
52,207673196,15100,5000,0,7500,0,,0,0,0,0,0,0
53,218003450,15200,5000,0,0,0,,0,0,0,0,0,0
54,228636035,15300,5000,0,0,1250,,1,0,0,0,0,0
55,239573847,15400,5500,2000,0,0,,0,10000,2000,20,924,0
56,250819750,15500,5500,0,0,0,,0,0,0,0,0,0
57,262376584,15600,5500,0,0,0,,0,0,0,0,0,0
58,274247164,15700,5500,0,0,0,,0,0,0,0,0,0
59,286434279,15800,5500,0,0,0,,0,0,0,0,0,0
60,298940692,15900,6000,2500,0,0,,0,5000,0,20,1080,0
61,311769145,16000,6000,0,0,0,,0,0,0,0,0,0
62,324922356,16100,6000,0,9000,0,,0,0,0,0,0,0
63,338403020,16200,6000,0,0,0,,0,0,0,0,0,0
64,352213810,16300,6000,0,0,1500,,0,0,0,0,0,0
65,366357377,16400,6500,2500,0,0,,0,10000,2000,10,1287,0
66,380836353,16500,6500,0,0,0,,1,0,0,0,0,0
67,395653348,16600,6500,0,0,0,,0,0,0,0,0,0
68,410810952,16700,6500,0,0,0,,0,0,0,0,0,0
69,426311736,16800,6500,0,0,0,,0,0,0,0,0,0
70,442158251,16900,7000,3000,0,0,,0,5000,0,3,1470,0
71,458353030,17000,7000,0,0,0,,0,0,0,0,0,0
72,474898588,17100,7000,0,10500,0,,0,0,0,0,0,0
73,491797422,17200,7000,0,0,0,,0,0,0,0,0,0
74,509052010,17300,7000,0,0,1750,,0,0,0,0,0,0
75,526664816,17400,7500,3000,0,0,,0,10000,2000,3,1710,0
76,544638283,17500,7500,0,0,0,,0,0,0,0,0,0
77,562974841,17600,7500,0,0,0,,0,0,0,0,0,0
78,581676903,17700,7500,0,0,0,,1,0,0,0,0,0
79,600746865,17800,7500,0,0,0,,0,0,0,0,0,0
80,620187109,17900,8000,3500,0,0,,0,5000,0,3,1920,0
81,640000000,18000,8000,0,0,0,,0,0,0,0,0,0
82,660187890,18100,8000,0,12000,0,,0,0,0,0,0,0
83,680753115,18200,8000,0,0,0,,0,0,0,0,0,0
84,701697998,18300,8000,0,0,2000,,0,0,0,0,0,0
85,723024846,18400,8500,3500,0,0,,0,10000,2000,3,2193,0
86,744735954,18500,8500,0,0,0,,0,0,0,0,0,0
87,766833601,18600,8500,0,0,0,,0,0,0,0,0,0
88,789320056,18700,8500,0,0,0,,0,0,0,0,0,0
89,812197572,18800,8500,0,0,0,,0,0,0,0,0,0
90,835468390,18900,9000,4000,0,0,,1,5000,0,3,2430,0
91,859134739,19000,9000,0,0,0,,0,0,0,0,0,0
92,883198835,19100,9000,0,13500,0,,0,0,0,0,0,0
93,907662880,19200,9000,0,0,0,,0,0,0,0,0,0
94,932529067,19300,9000,0,0,2250,,0,0,0,0,0,0
95,957799576,19400,9500,4000,0,0,,0,10000,2000,3,2736,0
96,983476574,19500,9500,0,0,0,,0,0,0,0,0,0
97,1009562218,19600,9500,0,0,0,,0,0,0,0,0,0
98,1036058653,19700,9500,0,0,0,,0,0,0,0,0,0
99,1062968013,19800,9500,0,0,0,,0,0,0,0,0,0
100,9.99999999999999E+18,19900,9999999999,9999999999,0,0,,0,9999999999,9999999999,0,9999999999,0
