gear_ID,cost_SSP,cost_EP,result_min,result_max,result1,result2,result3,result4,result5,result6,result7,result8
lg_2_6,1000,50,3,5,parts_3_4,parts_2_3,parts_3_10,parts_2_1,parts_2_9,parts_3_3,parts_3_4,parts_3_10
lg_2_7,1000,50,3,5,parts_2_10,parts_2_4,parts_3_9,parts_2_8,parts_3_4,parts_2_8,parts_3_5,parts_3_4
lg_2_8,1000,50,3,5,parts_2_6,parts_3_9,parts_2_10,parts_3_8,parts_2_6,parts_3_9,parts_2_10,parts_3_7
lg_2_9,1000,50,3,5,parts_2_9,parts_2_5,parts_2_10,parts_3_9,parts_2_2,parts_2_1,parts_2_6,parts_3_6
lg_2_10,1000,50,3,5,parts_3_7,parts_3_10,parts_2_3,parts_3_7,parts_2_1,parts_2_3,parts_2_4,parts_2_5
lg_3_1,400,25,2,4,parts_4_9,parts_4_4,parts_3_7,parts_3_10,parts_4_10,parts_4_13,parts_3_1,parts_3_10
lg_3_2,400,25,2,4,parts_4_19,parts_4_8,parts_4_5,parts_3_8,parts_4_16,parts_3_8,parts_3_7,parts_3_10
lg_3_3,400,25,2,4,parts_3_8,parts_4_8,parts_3_7,parts_4_19,parts_3_4,parts_3_10,parts_3_10,parts_3_7
lg_3_4,400,25,2,4,parts_4_11,parts_4_2,parts_3_1,parts_4_15,parts_4_16,parts_4_11,parts_4_12,parts_4_15
lg_3_5,400,25,2,4,parts_4_15,parts_3_8,parts_4_10,parts_4_5,parts_4_10,parts_4_17,parts_3_7,parts_4_16
lg_3_6,400,25,2,4,parts_3_1,parts_4_11,parts_3_9,parts_4_9,parts_3_5,parts_4_12,parts_4_13,parts_4_12
lg_3_7,400,25,2,4,parts_4_6,parts_4_11,parts_4_14,parts_4_11,parts_4_10,parts_3_10,parts_4_16,parts_3_3
lg_3_8,400,25,2,4,parts_4_2,parts_4_14,parts_4_13,parts_4_20,parts_3_9,parts_4_10,parts_3_2,parts_4_11
lg_3_9,400,25,2,4,parts_4_6,parts_4_15,parts_4_11,parts_4_18,parts_4_14,parts_3_10,parts_4_3,parts_4_15
lg_3_10,400,25,2,4,parts_4_2,parts_4_10,parts_4_12,parts_3_1,parts_4_16,parts_3_8,parts_4_4,parts_4_5
lg_4_1,200,0,2,4,parts_5_15,parts_5_2,parts_4_7,parts_4_1,parts_5_12,parts_4_11,parts_4_4,parts_5_19
lg_4_2,200,0,2,4,parts_4_15,parts_4_9,parts_4_2,parts_4_18,parts_5_15,parts_4_14,parts_5_4,parts_5_4
lg_4_3,200,0,2,4,parts_4_12,parts_4_8,parts_5_5,parts_4_1,parts_5_13,parts_5_20,parts_5_2,parts_4_10
lg_4_4,200,0,2,4,parts_4_19,parts_5_10,parts_5_1,parts_4_2,parts_5_12,parts_4_6,parts_4_11,parts_4_1
lg_4_5,200,0,2,4,parts_5_11,parts_4_17,parts_5_1,parts_5_10,parts_5_14,parts_4_16,parts_4_7,parts_5_12
lg_4_6,200,0,2,4,parts_4_9,parts_4_7,parts_4_7,parts_5_19,parts_4_17,parts_5_3,parts_5_20,parts_4_2
lg_4_7,200,0,2,4,parts_5_2,parts_4_18,parts_5_20,parts_5_9,parts_5_8,parts_4_18,parts_4_4,parts_4_12
lg_4_8,200,0,2,4,parts_4_7,parts_5_1,parts_5_6,parts_5_3,parts_4_10,parts_4_14,parts_5_16,parts_5_3
lg_4_9,200,0,2,4,parts_4_5,parts_5_19,parts_5_12,parts_5_2,parts_4_7,parts_4_10,parts_4_17,parts_5_15
lg_4_10,200,0,2,4,parts_4_8,parts_5_14,parts_4_4,parts_5_9,parts_5_9,parts_4_6,parts_5_6,parts_4_6
lg_4_11,200,0,2,4,parts_5_7,parts_4_16,parts_4_2,parts_5_3,parts_5_2,parts_4_13,parts_5_6,parts_4_14
lg_4_12,200,0,2,4,parts_5_15,parts_5_2,parts_5_6,parts_4_18,parts_4_11,parts_4_1,parts_4_18,parts_4_9
lg_4_13,200,0,2,4,parts_5_5,parts_4_16,parts_5_7,parts_5_1,parts_4_4,parts_4_5,parts_4_1,parts_4_11
lg_4_14,200,0,2,4,parts_4_7,parts_4_10,parts_4_9,parts_5_17,parts_4_6,parts_5_12,parts_5_17,parts_4_9
lg_4_15,200,0,2,4,parts_4_14,parts_5_20,parts_5_19,parts_4_5,parts_4_19,parts_5_12,parts_4_16,parts_5_1
lg_4_16,200,0,2,4,parts_5_18,parts_4_3,parts_5_2,parts_5_2,parts_5_1,parts_4_1,parts_5_10,parts_4_10
lg_4_17,200,0,2,4,parts_4_2,parts_4_19,parts_5_15,parts_5_14,parts_5_1,parts_5_3,parts_4_9,parts_4_10
lg_4_18,200,0,2,4,parts_5_16,parts_5_15,parts_4_12,parts_5_20,parts_4_3,parts_4_15,parts_5_10,parts_5_9
lg_4_19,200,0,2,4,parts_5_12,parts_5_17,parts_4_19,parts_5_12,parts_4_16,parts_4_19,parts_4_5,parts_4_14
lg_4_20,200,0,2,4,parts_5_19,parts_5_4,parts_4_18,parts_5_4,parts_5_6,parts_4_2,parts_4_3,parts_5_20
lg_5_1,200,0,2,3,parts_5_20,parts_6_3,parts_6_7,parts_5_6,parts_5_13,parts_5_8,parts_6_13,parts_6_5
lg_5_2,200,0,2,3,parts_5_17,parts_5_1,parts_5_15,parts_5_2,parts_6_7,parts_6_1,parts_5_10,parts_5_12
lg_5_3,200,0,2,3,parts_5_4,parts_6_4,parts_5_3,parts_5_12,parts_5_4,parts_5_1,parts_5_4,parts_5_11
lg_5_4,200,0,2,3,parts_5_9,parts_5_6,parts_5_10,parts_5_8,parts_6_5,parts_5_4,parts_5_13,parts_5_9
lg_5_5,200,0,2,3,parts_6_13,parts_5_9,parts_5_14,parts_5_8,parts_5_14,parts_6_10,parts_5_11,parts_6_9
lg_5_6,200,0,2,3,parts_6_2,parts_6_11,parts_6_5,parts_5_13,parts_6_2,parts_5_7,parts_5_3,parts_6_11
lg_5_7,200,0,2,3,parts_5_16,parts_5_3,parts_5_15,parts_6_1,parts_5_9,parts_5_3,parts_5_16,parts_6_15
lg_5_8,200,0,2,3,parts_6_14,parts_6_10,parts_5_5,parts_5_5,parts_5_7,parts_5_11,parts_6_4,parts_5_12
lg_5_9,200,0,2,3,parts_5_20,parts_5_10,parts_5_15,parts_6_8,parts_5_4,parts_5_7,parts_6_13,parts_5_5
lg_5_10,200,0,2,3,parts_5_5,parts_5_7,parts_6_2,parts_5_16,parts_5_14,parts_6_8,parts_6_14,parts_5_12
lg_5_11,200,0,2,3,parts_5_2,parts_5_3,parts_5_7,parts_6_14,parts_6_12,parts_5_10,parts_5_7,parts_5_19
lg_5_12,200,0,2,3,parts_5_9,parts_5_8,parts_5_5,parts_5_12,parts_5_8,parts_5_1,parts_5_17,parts_5_6
lg_5_13,200,0,2,3,parts_5_6,parts_5_19,parts_5_10,parts_5_14,parts_5_10,parts_5_14,parts_5_13,parts_6_9
lg_5_14,200,0,2,3,parts_5_7,parts_6_12,parts_5_13,parts_5_16,parts_5_6,parts_6_3,parts_5_17,parts_5_20
lg_5_15,200,0,2,3,parts_6_8,parts_5_16,parts_5_11,parts_5_3,parts_5_17,parts_5_6,parts_5_17,parts_5_14
lg_5_16,200,0,2,3,parts_5_3,parts_6_3,parts_5_7,parts_5_19,parts_5_10,parts_6_6,parts_6_3,parts_6_1
lg_5_17,200,0,2,3,parts_6_2,parts_6_10,parts_6_3,parts_6_9,parts_5_15,parts_5_4,parts_6_8,parts_5_13
lg_5_18,200,0,2,3,parts_5_6,parts_6_6,parts_5_12,parts_5_8,parts_5_13,parts_5_7,parts_5_20,parts_6_13
lg_5_19,200,0,2,3,parts_6_13,parts_5_5,parts_5_13,parts_6_7,parts_5_13,parts_5_16,parts_5_3,parts_6_10
lg_5_20,200,0,2,3,parts_5_2,parts_5_14,parts_6_1,parts_5_2,parts_5_1,parts_5_10,parts_6_12,parts_5_8
lg_6_1,100,0,1,3,parts_7_6,parts_6_8,parts_6_13,parts_7_4,parts_7_12,parts_6_4,parts_6_11,parts_7_9
lg_6_2,100,0,1,3,parts_6_15,parts_6_5,parts_6_7,parts_7_1,parts_7_15,parts_6_4,parts_6_6,parts_7_15
lg_6_3,100,0,1,3,parts_6_6,parts_7_4,parts_6_8,parts_6_2,parts_6_1,parts_7_7,parts_6_9,parts_6_6
lg_6_4,100,0,1,3,parts_6_5,parts_6_9,parts_7_13,parts_7_5,parts_6_7,parts_6_15,parts_6_6,parts_6_14
lg_6_5,100,0,1,3,parts_6_12,parts_6_11,parts_7_2,parts_7_13,parts_6_6,parts_7_15,parts_6_9,parts_6_8
lg_6_6,100,0,1,3,parts_7_8,parts_7_14,parts_6_13,parts_7_6,parts_6_8,parts_6_5,parts_7_7,parts_7_3
lg_6_7,100,0,1,3,parts_6_6,parts_7_4,parts_7_5,parts_7_4,parts_6_13,parts_6_8,parts_6_2,parts_6_3
lg_6_8,100,0,1,3,parts_6_2,parts_7_3,parts_7_3,parts_7_4,parts_6_9,parts_7_2,parts_7_12,parts_6_9
lg_6_9,100,0,1,3,parts_6_4,parts_6_2,parts_6_3,parts_6_12,parts_7_3,parts_7_2,parts_6_6,parts_7_13
lg_6_10,100,0,1,3,parts_7_12,parts_7_14,parts_7_4,parts_7_7,parts_7_9,parts_7_8,parts_6_4,parts_7_4
lg_7_1,0,0,1,3,parts_7_13,parts_7_13,parts_7_2,parts_7_7,parts_7_12,parts_7_10,parts_7_11,parts_7_1
lg_7_2,0,0,1,3,parts_7_15,parts_7_1,parts_7_11,parts_7_15,parts_7_1,parts_7_12,parts_7_6,parts_7_12
lg_7_3,0,0,1,3,parts_7_1,parts_7_6,parts_7_4,parts_7_15,parts_7_15,parts_7_14,parts_7_14,parts_7_10
lg_7_4,0,0,1,3,parts_7_6,parts_7_12,parts_7_12,parts_7_6,parts_7_15,parts_7_9,parts_7_3,parts_7_1
lg_7_5,0,0,1,3,parts_7_2,parts_7_8,parts_7_12,parts_7_13,parts_7_8,parts_7_3,parts_7_11,parts_7_13
lg_7_6,0,0,1,3,parts_7_11,parts_7_7,parts_7_13,parts_7_4,parts_7_13,parts_7_9,parts_7_14,parts_7_7
lg_7_7,0,0,1,3,parts_7_9,parts_7_13,parts_7_10,parts_7_10,parts_7_15,parts_7_10,parts_7_12,parts_7_1
lg_7_8,0,0,1,3,parts_7_14,parts_7_5,parts_7_3,parts_7_6,parts_7_10,parts_7_15,parts_7_3,parts_7_10
lg_7_9,0,0,1,3,parts_7_6,parts_7_5,parts_7_12,parts_7_12,parts_7_12,parts_7_3,parts_7_14,parts_7_9
lg_7_10,0,0,1,3,parts_7_9,parts_7_10,parts_7_8,parts_7_9,parts_7_3,parts_7_11,parts_7_1,parts_7_14
acce_1_1,2000,100,3,5,parts_2_4,parts_2_6,parts_2_8,parts_2_3,parts_2_6,parts_2_7,parts_2_7,gem_A_4
acce_1_2,2000,100,3,5,parts_2_6,parts_2_9,parts_2_2,parts_2_6,parts_2_3,parts_2_4,parts_2_5,gem_B_4
acce_1_3,2000,100,3,5,parts_2_1,parts_2_8,parts_2_8,parts_2_4,parts_2_9,parts_2_8,parts_2_8,gem_C_4
acce_1_4,2000,100,3,5,parts_2_3,parts_2_8,parts_2_4,parts_2_6,parts_2_9,parts_2_9,parts_2_7,gem_E_4
acce_1_5,2000,100,3,5,parts_2_4,parts_2_4,parts_2_2,parts_2_7,parts_2_6,parts_2_4,parts_2_1,gem_A_4
acce_1_6,2000,100,3,5,parts_2_9,parts_2_7,parts_2_1,parts_2_7,parts_2_9,parts_2_3,parts_2_10,gem_B_4
acce_1_7,2000,100,3,5,parts_2_10,parts_2_5,parts_2_1,parts_2_9,parts_2_3,parts_2_3,parts_2_9,gem_C_4
acce_1_8,2000,100,3,5,parts_2_8,parts_2_5,parts_2_9,parts_2_5,parts_2_4,parts_2_3,parts_2_10,gem_E_4
acce_1_9,2000,100,3,5,parts_2_4,parts_2_10,parts_2_6,parts_2_3,parts_2_4,parts_2_8,parts_2_2,gem_A_4
acce_1_10,2000,100,3,5,parts_2_2,parts_2_7,parts_2_4,parts_2_10,parts_2_8,parts_2_1,parts_2_5,gem_B_4
acce_2_1,1000,50,3,5,parts_2_10,parts_2_7,parts_3_5,parts_2_2,parts_2_8,parts_2_7,parts_2_10,gem_C_5
acce_2_2,1000,50,3,5,parts_2_8,parts_3_10,parts_2_2,parts_2_10,parts_3_3,parts_3_7,parts_2_9,gem_E_5
acce_2_3,1000,50,3,5,parts_3_1,parts_3_6,parts_2_2,parts_2_5,parts_2_10,parts_3_9,parts_2_1,gem_A_5
acce_2_4,1000,50,3,5,parts_2_4,parts_2_10,parts_3_6,parts_3_10,parts_2_9,parts_2_3,parts_3_4,gem_B_5
acce_2_5,1000,50,3,5,parts_3_6,parts_3_8,parts_2_4,parts_3_3,parts_2_5,parts_2_8,parts_2_6,gem_C_5
acce_2_6,1000,50,3,5,parts_3_4,parts_2_10,parts_2_1,parts_3_4,parts_2_10,parts_2_9,parts_3_9,gem_E_5
acce_2_7,1000,50,3,5,parts_2_3,parts_2_9,parts_3_10,parts_2_3,parts_2_9,parts_2_4,parts_2_5,gem_A_5
acce_2_8,1000,50,3,5,parts_2_10,parts_3_8,parts_3_4,parts_2_9,parts_2_8,parts_2_4,parts_2_9,gem_B_5
acce_2_9,1000,50,3,5,parts_3_9,parts_3_9,parts_3_5,parts_2_9,parts_2_10,parts_3_3,parts_3_6,gem_C_5
acce_2_10,1000,50,3,5,parts_2_6,parts_2_2,parts_3_10,parts_2_2,parts_2_5,parts_3_6,parts_2_10,gem_E_5
acce_3_1,400,25,2,4,parts_4_1,parts_4_10,parts_3_7,parts_3_2,parts_3_3,parts_4_7,parts_4_2,gem_A_6
acce_3_2,400,25,2,4,parts_3_3,parts_4_18,parts_4_14,parts_4_17,parts_3_8,parts_3_8,parts_4_11,gem_B_6
acce_3_3,400,25,2,4,parts_3_4,parts_4_15,parts_3_9,parts_4_16,parts_3_8,parts_3_2,parts_4_1,gem_C_6
acce_3_4,400,25,2,4,parts_3_4,parts_4_9,parts_3_8,parts_4_7,parts_4_2,parts_3_3,parts_4_16,gem_E_6
acce_3_5,400,25,2,4,parts_4_10,parts_4_8,parts_3_5,parts_4_18,parts_4_3,parts_4_15,parts_3_2,gem_A_6
acce_3_6,400,25,2,4,parts_4_18,parts_3_9,parts_4_3,parts_4_17,parts_4_1,parts_4_11,parts_4_5,gem_B_6
acce_3_7,400,25,2,4,parts_3_2,parts_4_15,parts_3_6,parts_4_11,parts_3_4,parts_4_9,parts_4_11,gem_C_6
acce_3_8,400,25,2,4,parts_4_18,parts_3_4,parts_4_8,parts_4_13,parts_3_9,parts_4_20,parts_3_2,gem_E_6
acce_3_9,400,25,2,4,parts_3_7,parts_4_16,parts_4_16,parts_4_13,parts_4_7,parts_3_4,parts_4_12,gem_A_6
acce_3_10,400,25,2,4,parts_3_7,parts_3_2,parts_3_5,parts_3_1,parts_4_18,parts_4_1,parts_3_7,gem_B_6
acce_4_1,200,0,2,4,parts_5_9,parts_4_14,parts_4_13,parts_5_5,parts_4_6,parts_5_5,parts_4_12,gem_C_6
acce_4_2,200,0,2,4,parts_4_1,parts_4_16,parts_5_18,parts_5_18,parts_5_18,parts_5_16,parts_4_20,gem_E_6
acce_4_3,200,0,2,4,parts_5_20,parts_5_4,parts_5_2,parts_4_2,parts_5_1,parts_5_15,parts_5_15,gem_A_6
acce_4_4,200,0,2,4,parts_4_15,parts_5_20,parts_5_7,parts_5_8,parts_5_19,parts_5_14,parts_4_17,gem_B_6
acce_4_5,200,0,2,4,parts_4_11,parts_4_7,parts_4_10,parts_5_7,parts_4_15,parts_5_20,parts_4_19,gem_C_6
acce_4_6,200,0,2,4,parts_5_5,parts_5_1,parts_5_6,parts_5_9,parts_4_8,parts_5_9,parts_4_1,gem_E_6
acce_4_7,200,0,2,4,parts_4_11,parts_5_19,parts_4_20,parts_5_2,parts_4_16,parts_5_2,parts_4_16,gem_A_6
acce_4_8,200,0,2,4,parts_5_4,parts_4_16,parts_5_16,parts_4_19,parts_4_2,parts_4_12,parts_5_17,gem_B_6
acce_4_9,200,0,2,4,parts_5_20,parts_4_2,parts_4_2,parts_4_19,parts_4_18,parts_5_6,parts_5_18,gem_C_6
acce_4_10,200,0,2,4,parts_5_2,parts_4_7,parts_4_9,parts_5_1,parts_5_15,parts_5_15,parts_5_16,gem_E_6
acce_4_11,200,0,2,4,parts_5_18,parts_5_11,parts_4_17,parts_4_4,parts_5_10,parts_4_4,parts_5_17,gem_A_6
acce_4_12,200,0,2,4,parts_4_8,parts_5_15,parts_4_18,parts_4_20,parts_4_5,parts_5_5,parts_5_11,gem_B_6
acce_4_13,200,0,2,4,parts_5_16,parts_4_9,parts_4_2,parts_5_16,parts_5_11,parts_4_10,parts_4_9,gem_C_6
acce_4_14,200,0,2,4,parts_4_12,parts_4_3,parts_4_20,parts_5_12,parts_5_20,parts_4_8,parts_5_19,gem_E_6
acce_4_15,200,0,2,4,parts_5_11,parts_4_13,parts_5_13,parts_4_11,parts_5_4,parts_4_11,parts_5_16,gem_A_6
acce_4_16,200,0,2,4,parts_5_10,parts_4_15,parts_4_11,parts_4_15,parts_4_6,parts_4_12,parts_5_9,gem_B_6
acce_4_17,200,0,2,4,parts_4_9,parts_5_10,parts_4_7,parts_5_10,parts_4_10,parts_4_16,parts_4_14,gem_C_6
acce_4_18,200,0,2,4,parts_4_19,parts_4_12,parts_4_5,parts_5_6,parts_4_18,parts_5_18,parts_4_7,gem_E_6
acce_4_19,200,0,2,4,parts_5_5,parts_4_15,parts_4_17,parts_5_14,parts_5_5,parts_4_19,parts_4_16,gem_A_6
acce_4_20,200,0,2,4,parts_5_7,parts_5_17,parts_5_13,parts_5_2,parts_5_6,parts_4_19,parts_4_9,gem_B_6
acce_5_1,200,0,2,3,parts_6_10,parts_6_3,parts_5_7,parts_5_2,parts_6_14,parts_5_13,parts_5_12,gem_C_7
acce_5_2,200,0,2,3,parts_5_19,parts_6_15,parts_6_10,parts_6_14,parts_5_13,parts_5_9,parts_6_1,gem_E_7
acce_5_3,200,0,2,3,parts_6_5,parts_6_10,parts_6_15,parts_5_8,parts_5_10,parts_6_4,parts_5_2,gem_A_7
acce_5_4,200,0,2,3,parts_6_1,parts_5_8,parts_6_1,parts_5_4,parts_6_8,parts_6_1,parts_5_3,gem_B_7
acce_5_5,200,0,2,3,parts_5_13,parts_6_4,parts_5_12,parts_5_10,parts_5_4,parts_6_14,parts_5_6,gem_C_7
acce_5_6,200,0,2,3,parts_6_15,parts_6_8,parts_5_9,parts_5_11,parts_6_8,parts_6_15,parts_5_9,gem_E_7
acce_5_7,200,0,2,3,parts_6_1,parts_6_3,parts_5_14,parts_5_2,parts_6_12,parts_6_9,parts_6_5,gem_A_7
acce_5_8,200,0,2,3,parts_6_13,parts_6_10,parts_6_7,parts_5_5,parts_5_14,parts_5_3,parts_6_1,gem_B_7
acce_5_9,200,0,2,3,parts_6_1,parts_5_2,parts_6_2,parts_5_2,parts_5_6,parts_6_9,parts_5_3,gem_C_7
acce_5_10,200,0,2,3,parts_6_2,parts_5_11,parts_6_11,parts_6_12,parts_5_5,parts_5_4,parts_6_10,gem_E_7
acce_5_11,200,0,2,3,parts_6_13,parts_5_4,parts_5_17,parts_5_1,parts_5_1,parts_6_3,parts_5_20,gem_A_7
acce_5_12,200,0,2,3,parts_6_11,parts_5_5,parts_5_20,parts_6_6,parts_5_15,parts_5_13,parts_6_4,gem_B_7
acce_5_13,200,0,2,3,parts_6_9,parts_5_14,parts_5_12,parts_6_7,parts_6_12,parts_5_20,parts_5_19,gem_C_7
acce_5_14,200,0,2,3,parts_5_1,parts_5_4,parts_5_17,parts_6_1,parts_5_3,parts_6_15,parts_5_8,gem_E_7
acce_5_15,200,0,2,3,parts_5_9,parts_5_11,parts_5_5,parts_6_8,parts_6_7,parts_5_16,parts_6_15,gem_A_7
acce_5_16,200,0,2,3,parts_6_4,parts_6_13,parts_5_10,parts_5_3,parts_5_10,parts_5_13,parts_6_5,gem_B_7
acce_5_17,200,0,2,3,parts_5_17,parts_5_17,parts_5_6,parts_6_9,parts_5_6,parts_6_12,parts_5_8,gem_C_7
acce_5_18,200,0,2,3,parts_5_2,parts_5_10,parts_5_9,parts_6_9,parts_6_9,parts_5_15,parts_5_20,gem_E_7
acce_5_19,200,0,2,3,parts_5_7,parts_5_4,parts_5_12,parts_6_9,parts_5_13,parts_6_2,parts_5_8,gem_A_7
acce_5_20,200,0,2,3,parts_5_7,parts_5_2,parts_5_19,parts_6_12,parts_6_8,parts_5_10,parts_5_14,gem_B_7
acce_6_1,100,0,1,3,parts_6_13,parts_6_12,parts_7_5,parts_6_9,parts_6_5,parts_7_14,parts_6_11,gem_C_7
acce_6_2,100,0,1,3,parts_6_4,parts_6_14,parts_6_15,parts_6_13,parts_7_8,parts_7_15,parts_7_7,gem_E_7
acce_6_3,100,0,1,3,parts_7_10,parts_6_13,parts_6_14,parts_6_1,parts_6_2,parts_7_11,parts_7_3,gem_A_7
acce_6_4,100,0,1,3,parts_6_14,parts_6_15,parts_7_9,parts_6_11,parts_6_10,parts_7_3,parts_6_4,gem_B_7
acce_6_5,100,0,1,3,parts_6_14,parts_6_1,parts_7_4,parts_6_12,parts_6_12,parts_7_12,parts_6_3,gem_C_7
acce_6_6,100,0,1,3,parts_6_13,parts_6_12,parts_6_2,parts_7_11,parts_7_3,parts_6_5,parts_7_11,gem_E_7
acce_6_7,100,0,1,3,parts_6_8,parts_7_4,parts_7_13,parts_7_14,parts_6_8,parts_6_14,parts_7_5,gem_A_7
acce_6_8,100,0,1,3,parts_7_15,parts_6_15,parts_7_3,parts_7_14,parts_6_13,parts_6_15,parts_6_10,gem_B_7
acce_6_9,100,0,1,3,parts_7_3,parts_7_13,parts_6_9,parts_6_14,parts_7_13,parts_7_15,parts_7_2,gem_C_7
acce_6_10,100,0,1,3,parts_6_8,parts_6_10,parts_6_11,parts_7_5,parts_6_8,parts_7_6,parts_7_14,gem_E_7
acce_7_1,0,0,1,3,parts_7_15,parts_7_3,parts_7_1,parts_7_13,parts_7_4,parts_7_4,parts_7_8,gem_A_7
acce_7_2,0,0,1,3,parts_7_5,parts_7_12,parts_7_14,parts_7_7,parts_7_2,parts_7_3,parts_7_9,gem_B_7
acce_7_3,0,0,1,3,parts_7_13,parts_7_2,parts_7_7,parts_7_6,parts_7_12,parts_7_14,parts_7_14,gem_C_7
acce_7_4,0,0,1,3,parts_7_8,parts_7_13,parts_7_10,parts_7_7,parts_7_1,parts_7_1,parts_7_14,gem_E_7
acce_7_5,0,0,1,3,parts_7_14,parts_7_10,parts_7_11,parts_7_7,parts_7_3,parts_7_10,parts_7_5,gem_A_7
acce_7_6,0,0,1,3,parts_7_9,parts_7_11,parts_7_1,parts_7_15,parts_7_3,parts_7_9,parts_7_8,gem_B_7
acce_7_7,0,0,1,3,parts_7_7,parts_7_15,parts_7_4,parts_7_4,parts_7_3,parts_7_4,parts_7_12,gem_C_7
acce_7_8,0,0,1,3,parts_7_10,parts_7_13,parts_7_1,parts_7_8,parts_7_13,parts_7_4,parts_7_11,gem_E_7
acce_7_9,0,0,1,3,parts_7_6,parts_7_6,parts_7_8,parts_7_11,parts_7_11,parts_7_8,parts_7_14,gem_A_7
acce_7_10,0,0,1,3,parts_7_4,parts_7_13,parts_7_5,parts_7_12,parts_7_7,parts_7_3,parts_7_10,gem_B_7
radio_1_1,2000,100,3,5,parts_2_7,parts_2_2,parts_2_1,parts_2_4,parts_2_2,parts_2_6,parts_2_9,parts_2_6
radio_1_2,2000,100,3,5,parts_2_6,parts_2_3,parts_2_10,parts_2_2,parts_2_7,parts_2_10,parts_2_6,parts_2_10
radio_1_3,2000,100,3,5,parts_2_8,parts_2_6,parts_2_8,parts_2_2,parts_2_6,parts_2_7,parts_2_5,parts_2_4
radio_1_4,2000,100,3,5,parts_2_10,parts_2_10,parts_2_5,parts_2_2,parts_2_1,parts_2_9,parts_2_1,parts_2_9
radio_1_5,2000,100,3,5,parts_2_10,parts_2_7,parts_2_8,parts_2_5,parts_2_1,parts_2_1,parts_2_4,parts_2_3
radio_1_6,2000,100,3,5,parts_2_8,parts_2_6,parts_2_6,parts_2_4,parts_2_2,parts_2_7,parts_2_3,parts_2_10
radio_1_7,2000,100,3,5,parts_2_10,parts_2_4,parts_2_1,parts_2_2,parts_2_4,parts_2_9,parts_2_7,parts_2_7
radio_1_8,2000,100,3,5,parts_2_9,parts_2_2,parts_2_3,parts_2_5,parts_2_1,parts_2_6,parts_2_2,parts_2_10
radio_1_9,2000,100,3,5,parts_2_7,parts_2_6,parts_2_6,parts_2_4,parts_2_9,parts_2_5,parts_2_9,parts_2_1
radio_1_10,2000,100,3,5,parts_2_1,parts_2_5,parts_2_8,parts_2_2,parts_2_8,parts_2_7,parts_2_4,parts_2_4
radio_2_1,1000,50,3,5,parts_3_2,parts_2_2,parts_2_5,parts_2_6,parts_2_6,parts_2_1,parts_2_5,parts_3_9
radio_2_2,1000,50,3,5,parts_3_4,parts_3_9,parts_2_1,parts_2_9,parts_2_7,parts_2_8,parts_3_8,parts_3_6
radio_2_3,1000,50,3,5,parts_2_9,parts_3_8,parts_3_6,parts_2_9,parts_2_9,parts_3_3,parts_3_1,parts_2_3
radio_2_4,1000,50,3,5,parts_3_5,parts_3_8,parts_3_6,parts_2_8,parts_3_8,parts_3_8,parts_2_7,parts_2_5
